1730852542,-239.043020034
1450218449,-239.316317446
1444998507,-238.801511791
381459049,-238.929834592
1441815159,-239.012308965
1523463863,-238.918146826
1006551785,-239.037786291
1645645834,-238.929949905
661003726,-241.424354102
1610040910,-238.985113564
1934288323,-238.875329666
1478894975,-238.960922271
1439523974,-239.54500367
807458244,-238.662400682
1031733768,-238.961302085
198753278,-239.080988483
835330664,-238.562346077
1373444811,-239.015290578
1181978460,-239.591993843
465317122,-238.87617444
1924255024,-239.423072165
957871083,-238.583279951
1952546176,-238.641233219
200133176,-238.82722969
1716559679,-238.841405463
1159779114,-239.345631024
1211183440,-239.075690019
671586090,-238.853657847
812566335,-238.972133086
1714328350,-239.098507688
1003769656,-239.126283469
1299484929,-239.104038955
1471964932,-240.233955874
1901124411,-239.176897767
785781541,-238.885027647
444008433,-241.418640219
1161921219,-238.912075791
2095884053,-238.987431518
598878248,-238.957808379
1777525923,-239.160041015
1644117631,-239.582788872
1850708979,-238.886441828
1168106813,-238.941547209
2002007200,-238.999459482
1627486972,-242.610044949
1573271469,-239.080194163
918831149,-239.420229901
1766790370,-239.141867416
267713661,-241.02614658
659984035,-239.170660888
1603299703,-239.239483709
1488679531,-239.075759584
1663861492,-238.848552449
1528957699,-239.177390172
1359762993,-240.794694283
480623387,-238.745094183
99674654,-239.455753511
1182277538,-238.750263759
892242897,-239.067905947
433735001,-239.006643585
629965772,-238.819146938
1193444518,-239.401228448
1725913865,-238.948796943
1712429263,-239.120351971
1193444518,-239.401228448
1684034114,-238.688435344
1032205958,-238.866782541
306583663,-239.612909523
1015354641,-238.790937246
1323434572,-239.044288223
1091622310,-239.236692307
238875689,-239.042067548
851026628,-238.995505953
852248858,-239.116852328
1911570054,-239.527444072
532408537,-239.038271508
822373299,-238.774963812
480260560,-238.828624196
1523850176,-239.392606388
1907431669,-239.390975282
1658136245,-238.672241957
899163979,-238.875859237
499362521,-238.880341002
1746569395,-238.894749505
1813497936,-238.85861943
259139101,-239.020148024
55210704,-239.358339964
424195778,-238.829910136
1052470346,-239.554242196
1910013949,-238.895450841
1818184115,-239.125196252
1429415460,-238.976780238
1769203497,-238.61679414
844543745,-239.311627969
1115450910,-238.843146107
290755478,-238.926270496
1238376464,-238.761746015
