  -0.4803879944   -0.4652263322   -0.4017461439   -0.3259284263    0.1885959984    0.9012079056     1.282687323     1.316778021     1.372709039     1.844356485     1.925445157     2.296064939     2.451979821     2.590066718      2.61839749
  -0.4802313557   -0.4652875708   -0.4018579957   -0.3244187041    0.1890309022    0.9020208604      1.28295492     1.319496701     1.370431094      1.84362551     1.925109255     2.295106753     2.451146871      2.58998198     2.618109144
  -0.4800418784   -0.4653252754   -0.4019227482   -0.3228634951    0.1896016576    0.9026875241     1.283283802     1.321454428     1.368954886     1.842948676     1.924929574      2.29415877     2.450309662     2.589891606     2.617806236
  -0.4798195417   -0.4653392715   -0.4019402068    -0.321263471    0.1903082075    0.9032071225     1.283674592     1.322467566     1.368464133     1.842328054     1.924904096     2.293220832     2.449468193     2.589795927     2.617488854
  -0.4795643536   -0.4653293825   -0.4019102695   -0.3196193264    0.1911504679    0.9035789377     1.284127425     1.322437863       1.3690578     1.841765714      1.92503069     2.292292773     2.448622454     2.589695292     2.617157092
  -0.4792763517   -0.4652954297   -0.4018329236   -0.3179317808    0.1921283279    0.9038023094     1.284641963     1.321404274     1.370698268     1.841263702     1.925307141     2.291374423     2.447772424      2.58959007     2.616811057
  -0.4789556032   -0.4652372338   -0.4017082424   -0.3162015809    0.1932416494    0.9038766363     1.285217279     1.319521292     1.373233101     1.840824019     1.925731167     2.290465607     2.446918075     2.589480652     2.616450858
  -0.4786022055   -0.4651546157   -0.4015363819   -0.3144295021    0.1944902677     0.903801379     1.285851578      1.31698743     1.376466852     1.840448603     1.926300446     2.289566142     2.446059368     2.589367446     2.616076618
  -0.4782162869   -0.4650473973   -0.4013175772   -0.3126163505    0.1958739906    0.9035760622     1.286541565     1.313986812     1.380220088     1.840139314     1.927012626     2.288675845     2.445196257      2.58925088     2.615688464
  -0.4777980066   -0.4649154032    -0.401052139   -0.3107629639    0.1973925989    0.9032002784     1.287281047     1.310667736     1.384352229     1.839897919     1.927865345     2.287794527     2.444328685     2.589131401     2.615286533
  -0.4773475557   -0.4647584613   -0.4007404503   -0.3088702136    0.1990458464    0.9026736907     1.288057434     1.307146785      1.38876092     1.839726086     1.928856243     2.286921995     2.443456586     2.589009476      2.61487097
  -0.4768651576   -0.4645764042   -0.4003829629   -0.3069390052    0.2008334593    0.9019960379     1.288841659     1.303527334     1.393373602     1.839625374     1.929982964     2.286058056     2.442579883     2.588885589     2.614441928
   -0.476351069   -0.4643690703   -0.3999801937   -0.3049702798    0.2027551368    0.9011671381     1.289552379     1.299943919      1.39813894      1.83959723     1.931243174     2.285202513     2.441698492     2.588760245     2.613999568
  -0.4758055801   -0.4641363044   -0.3995327216   -0.3029650149    0.2048105504    0.9001868942     1.289897815     1.296726986     1.403020217     1.839642981     1.932634553      2.28435517     2.440812318     2.588633964     2.613544059
  -0.4752290165    -0.463877959   -0.3990411836   -0.3009242251    0.2069993443     0.899055299     1.288911326     1.294871921     1.407990729     1.839763843     1.934154808     2.283515828     2.439921256     2.588507287     2.613075581
  -0.4746217394   -0.4635938944   -0.3985062721   -0.2988489632     0.209321135    0.8977724406     1.286093632     1.294899921     1.413030677     1.839960912     1.935801665     2.282684289     2.439025194     2.588380771     2.612594318
  -0.4739841478   -0.4632839787   -0.3979287312     -0.29674032    0.2117755113    0.8963385087     1.282524939     1.295747938     1.418125099     1.840235169     1.937572876     2.281860356     2.438124008     2.588254993     2.612100466
  -0.4733166795   -0.4629480884   -0.3973093536   -0.2945994256     0.214362034    0.8947538001     1.278748497     1.296886502      1.42326247     1.840587485      1.93946621     2.281043832     2.437217567     2.588130546     2.611594228
  -0.4726198132   -0.4625861072   -0.3966489775   -0.2924274493    0.2170802361    0.8930187251     1.274915072     1.298176181     1.428433766     1.841018624     1.941479458     2.280234522      2.43630573      2.58800804     2.611075816
  -0.4718940713    -0.462197925   -0.3959484838   -0.2902256002    0.2199296223    0.8911338135     1.271079022      1.29957215     1.433631813     1.841529244     1.943610422     2.279432235     2.435388347     2.587888101      2.61054545
  -0.4711400223   -0.4617834361    -0.395208793   -0.2879951271     0.222909669    0.8890997205     1.267266609     1.301056324     1.438850828     1.842119904     1.945856918      2.27863678      2.43446526     2.587771373      2.61000336
  -0.4703582843   -0.4613425369   -0.3944308628   -0.2857373188     0.226019824    0.8869172325     1.263493547     1.302620117     1.444086107     1.842791071     1.948216765     2.277847972     2.433536303     2.587658516     2.609449783
  -0.4695495297    -0.460875122    -0.393615685    -0.283453504    0.2292595061    0.8845872724     1.259770717     1.304258955     1.449333786      1.84354312     1.950687789     2.277065629     2.432601302     2.587550206     2.608884967
    -0.46871449   -0.4603810801   -0.3927642833   -0.2811450516    0.2326281054    0.8821109041     1.256106415     1.305970188     1.454590679     1.844376343     1.953267812     2.276289575     2.431660077     2.587447133     2.608309168
  -0.4678539622   -0.4598602876   -0.3918777111   -0.2788133698    0.2361249822    0.8794893375     1.252507381     1.307752177     1.459854146     1.845290951      1.95595465      2.27551964     2.430712438     2.587350003     2.607722651
  -0.4669688165   -0.4593126018   -0.3909570489   -0.2764599067    0.2397494674    0.8767239311     1.248979317     1.309603866     1.465122006     1.846287084      1.95874611     2.274755658     2.429758192     2.587259535     2.607125691
  -0.4660600057   -0.4587378515   -0.3900034023   -0.2740861496    0.2435008613    0.8738161954     1.245527182     1.311524545     1.470392462     1.847364807     1.961639985     2.273997474     2.428797137     2.587176464     2.606518572
